8=FIX4.4; 35=8; 34=52; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:06; 55=AAPL; 40=2; 11=algo20240805110206; 31=1276.37; 150=0; 39=0; 54=1; 44=1276.37; 32=0; 17=exec20240805110206; 38=30977; 60=2024-08-05-11:02:06; 6=0; 14=0; 37=algo20240805110206; 10=200;
8=FIX4.4; 35=8; 34=63; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:15; 55=AMZN; 40=2; 11=algo20240805110215; 31=133.47; 150=1; 39=1; 54=1; 44=133.47; 32=1325; 17=exec20240805110215; 38=5301; 60=2024-08-05-11:02:15; 6=133.47; 14=1325; 37=algo20240805110215; 10=240;
8=FIX4.4; 35=8; 34=63; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:16; 55=AMZN; 11=C_algo20240805110215; 31=0; 150=6; 39=6; 54=1; 44=133.47; 17=exec20240805110216; 32=0; 41=algo20240805110215; 38=5301; 60=2024-08-05-11:02:16; 6=0.0; 14=1325; 37=algo20240805110215; 10=252;
8=FIX4.4; 35=8; 34=64; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:16; 151=2651; 55=AMZN; 11=C_algo20240805110215; 31=0; 150=4; 39=4; 54=1; 17=exec20240805110216; 32=0; 41=algo20240805110215; 38=5301; 60=2024-08-05-11:02:16; 6=0.0; 14=1325; 37=algo20240805110215; 10=252;
8=FIX4.4; 35=8; 34=66; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:18; 55=FB; 40=2; 11=algo20240805110218; 31=430.62; 150=0; 39=0; 54=2; 44=430.62; 32=0; 17=exec20240805110218; 38=14367; 60=2024-08-05-11:02:18; 6=0; 14=0; 37=algo20240805110218; 10=200;
8=FIX4.4; 35=8; 34=66; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:18; 55=FB; 11=C_algo20240805110218; 31=0; 150=6; 39=6; 54=2; 44=430.62; 17=exec20240805110218; 32=0; 41=algo20240805110218; 38=14367; 60=2024-08-05-11:02:18; 6=0.0; 14=0; 37=algo20240805110218; 10=252;
8=FIX4.4; 35=8; 34=67; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:18; 151=10776; 55=FB; 11=C_algo20240805110218; 31=0; 150=4; 39=4; 54=2; 17=exec20240805110218; 32=0; 41=algo20240805110218; 38=14367; 60=2024-08-05-11:02:18; 6=0.0; 14=0; 37=algo20240805110218; 10=252;
8=FIX4.4; 35=8; 34=69; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:20; 55=GOOG; 40=2; 11=algo20240805110220; 31=42.05; 150=0; 39=0; 54=2; 44=42.05; 32=0; 17=exec20240805110220; 38=26698; 60=2024-08-05-11:02:20; 6=0; 14=0; 37=algo20240805110220; 10=200;
8=FIX4.4; 35=8; 34=70; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:21; 55=GOOG; 40=2; 11=algo20240805110220; 31=42.05; 150=2; 39=2; 54=2; 44=42.05; 32=26698; 17=exec20240805110221; 38=26698; 60=2024-08-05-11:02:21; 6=42.05; 14=26698; 37=algo20240805110220; 10=246;
8=FIX4.4; 35=8; 34=71; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:21; 55=GOOGL; 40=2; 11=algo20240805110221; 31=289.20; 150=0; 39=0; 54=2; 44=289.20; 32=0; 17=exec20240805110221; 38=16528; 60=2024-08-05-11:02:21; 6=0; 14=0; 37=algo20240805110221; 10=200;
8=FIX4.4; 35=8; 34=72; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:22; 55=GOOGL; 40=2; 11=algo20240805110221; 31=289.20; 150=2; 39=2; 54=2; 44=289.20; 32=16528; 17=exec20240805110222; 38=16528; 60=2024-08-05-11:02:22; 6=289.20; 14=16528; 37=algo20240805110221; 10=246;
8=FIX4.4; 35=8; 34=73; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:22; 55=INTC; 40=2; 11=algo20240805110222; 31=339.13; 150=0; 39=0; 54=2; 44=339.13; 32=0; 17=exec20240805110222; 38=22702; 60=2024-08-05-11:02:22; 6=0; 14=0; 37=algo20240805110222; 10=200;
8=FIX4.4; 35=8; 34=74; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:22; 55=INTC; 40=2; 11=algo20240805110222; 31=339.13; 150=1; 39=1; 54=2; 44=339.13; 32=7567; 17=exec20240805110222; 38=22702; 60=2024-08-05-11:02:22; 6=339.13; 14=7567; 37=algo20240805110222; 10=240;
8=FIX4.4; 35=8; 34=75; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:23; 55=INTC; 40=2; 11=algo20240805110222; 31=339.13; 150=1; 39=1; 54=2; 44=339.13; 32=7567; 17=exec20240805110223; 38=22702; 60=2024-08-05-11:02:23; 6=339.13; 14=15134; 37=algo20240805110222; 10=240;
8=FIX4.4; 35=8; 34=76; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:25; 55=INTC; 40=2; 11=algo20240805110222; 31=339.13; 150=2; 39=2; 54=2; 44=339.13; 32=7568; 17=exec20240805110225; 38=22702; 60=2024-08-05-11:02:25; 6=339.13; 14=22702; 37=algo20240805110222; 10=246;
8=FIX4.4; 35=8; 34=77; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:25; 55=PEP; 40=2; 11=algo20240805110225; 31=36.21; 150=0; 39=0; 54=2; 44=36.21; 32=0; 17=exec20240805110225; 38=2046; 60=2024-08-05-11:02:25; 6=0; 14=0; 37=algo20240805110225; 10=200;
8=FIX4.4; 35=8; 34=78; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:26; 55=PEP; 40=2; 11=algo20240805110225; 31=36.21; 150=2; 39=2; 54=2; 44=36.21; 32=2046; 17=exec20240805110226; 38=2046; 60=2024-08-05-11:02:26; 6=36.21; 14=2046; 37=algo20240805110225; 10=246;
8=FIX4.4; 35=8; 34=79; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:26; 55=NFLX; 40=2; 11=algo20240805110226; 31=306.71; 150=0; 39=0; 54=1; 44=306.71; 32=0; 17=exec20240805110226; 38=29676; 60=2024-08-05-11:02:26; 6=0; 14=0; 37=algo20240805110226; 10=200;
8=FIX4.4; 35=8; 34=80; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:26; 55=NFLX; 40=2; 11=algo20240805110226; 31=306.71; 150=1; 39=1; 54=1; 44=306.71; 32=7419; 17=exec20240805110226; 38=29676; 60=2024-08-05-11:02:26; 6=306.71; 14=7419; 37=algo20240805110226; 10=240;
8=FIX4.4; 35=8; 34=80; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:27; 55=NFLX; 11=C_algo20240805110226; 31=0; 150=6; 39=6; 54=1; 44=306.71; 17=exec20240805110227; 32=0; 41=algo20240805110226; 38=29676; 60=2024-08-05-11:02:27; 6=0.0; 14=7419; 37=algo20240805110226; 10=252;
8=FIX4.4; 35=8; 34=81; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:27; 151=14838; 55=NFLX; 11=C_algo20240805110226; 31=0; 150=4; 39=4; 54=1; 17=exec20240805110227; 32=0; 41=algo20240805110226; 38=29676; 60=2024-08-05-11:02:27; 6=0.0; 14=7419; 37=algo20240805110226; 10=252;
8=FIX4.4; 35=8; 34=83; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:29; 55=CSCO; 40=2; 11=algo20240805110229; 31=233.73; 150=0; 39=0; 54=1; 44=233.73; 32=0; 17=exec20240805110229; 38=8749; 60=2024-08-05-11:02:29; 6=0; 14=0; 37=algo20240805110229; 10=200;
8=FIX4.4; 35=8; 34=83; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:29; 55=CSCO; 11=C_algo20240805110229; 31=0; 150=6; 39=6; 54=1; 44=233.73; 17=exec20240805110229; 32=0; 41=algo20240805110229; 38=8749; 60=2024-08-05-11:02:29; 6=0.0; 14=0; 37=algo20240805110229; 10=252;
8=FIX4.4; 35=8; 34=84; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:29; 151=5833; 55=CSCO; 11=C_algo20240805110229; 31=0; 150=4; 39=4; 54=1; 17=exec20240805110229; 32=0; 41=algo20240805110229; 38=8749; 60=2024-08-05-11:02:29; 6=0.0; 14=0; 37=algo20240805110229; 10=252;
8=FIX4.4; 35=8; 34=86; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:31; 55=AMGN; 40=2; 11=algo20240805110231; 31=116.62; 150=0; 39=0; 54=1; 44=116.62; 32=0; 17=exec20240805110231; 38=27103; 60=2024-08-05-11:02:31; 6=0; 14=0; 37=algo20240805110231; 10=200;
8=FIX4.4; 35=8; 34=86; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:31; 55=AMGN; 11=C_algo20240805110231; 31=0; 150=6; 39=6; 54=1; 44=116.62; 17=exec20240805110231; 32=0; 41=algo20240805110231; 38=27103; 60=2024-08-05-11:02:31; 6=0.0; 14=0; 37=algo20240805110231; 10=252;
8=FIX4.4; 35=8; 34=87; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:31; 151=18069; 55=AMGN; 11=C_algo20240805110231; 31=0; 150=4; 39=4; 54=1; 17=exec20240805110231; 32=0; 41=algo20240805110231; 38=27103; 60=2024-08-05-11:02:31; 6=0.0; 14=0; 37=algo20240805110231; 10=252;
8=FIX4.4; 35=8; 34=89; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:33; 55=PYPL; 40=2; 11=algo20240805110233; 31=723.61; 150=0; 39=0; 54=1; 44=723.61; 32=0; 17=exec20240805110233; 38=29143; 60=2024-08-05-11:02:33; 6=0; 14=0; 37=algo20240805110233; 10=200;
8=FIX4.4; 35=8; 34=89; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:33; 55=PYPL; 11=C_algo20240805110233; 31=0; 150=6; 39=6; 54=1; 44=723.61; 17=exec20240805110233; 32=0; 41=algo20240805110233; 38=29143; 60=2024-08-05-11:02:33; 6=0.0; 14=0; 37=algo20240805110233; 10=252;
8=FIX4.4; 35=8; 34=90; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:33; 151=23315; 55=PYPL; 11=C_algo20240805110233; 31=0; 150=4; 39=4; 54=1; 17=exec20240805110233; 32=0; 41=algo20240805110233; 38=29143; 60=2024-08-05-11:02:33; 6=0.0; 14=0; 37=algo20240805110233; 10=252;
8=FIX4.4; 35=8; 34=92; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:35; 55=TSLA; 40=2; 11=algo20240805110235; 31=503.77; 150=0; 39=0; 54=1; 44=503.77; 32=0; 17=exec20240805110235; 38=5598; 60=2024-08-05-11:02:35; 6=0; 14=0; 37=algo20240805110235; 10=200;
8=FIX4.4; 35=8; 34=92; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:35; 55=TSLA; 11=C_algo20240805110235; 31=0; 150=6; 39=6; 54=1; 44=503.77; 17=exec20240805110235; 32=0; 41=algo20240805110235; 38=5598; 60=2024-08-05-11:02:35; 6=0.0; 14=0; 37=algo20240805110235; 10=252;
8=FIX4.4; 35=8; 34=93; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:35; 151=2799; 55=TSLA; 11=C_algo20240805110235; 31=0; 150=4; 39=4; 54=1; 17=exec20240805110235; 32=0; 41=algo20240805110235; 38=5598; 60=2024-08-05-11:02:35; 6=0.0; 14=0; 37=algo20240805110235; 10=252;
8=FIX4.4; 35=8; 34=95; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:37; 55=TXN; 40=2; 11=algo20240805110237; 31=112.46; 150=0; 39=0; 54=2; 44=112.46; 32=0; 17=exec20240805110237; 38=16843; 60=2024-08-05-11:02:37; 6=0; 14=0; 37=algo20240805110237; 10=200;
8=FIX4.4; 35=8; 34=95; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:37; 55=TXN; 11=C_algo20240805110237; 31=0; 150=6; 39=6; 54=2; 44=112.46; 17=exec20240805110237; 32=0; 41=algo20240805110237; 38=16843; 60=2024-08-05-11:02:37; 6=0.0; 14=0; 37=algo20240805110237; 10=252;
8=FIX4.4; 35=8; 34=96; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:37; 151=8422; 55=TXN; 11=C_algo20240805110237; 31=0; 150=4; 39=4; 54=2; 17=exec20240805110237; 32=0; 41=algo20240805110237; 38=16843; 60=2024-08-05-11:02:37; 6=0.0; 14=0; 37=algo20240805110237; 10=252;
8=FIX4.4; 35=8; 34=98; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:39; 55=AVGO; 40=2; 11=algo20240805110239; 31=262.99; 150=0; 39=0; 54=1; 44=262.99; 32=0; 17=exec20240805110239; 38=28596; 60=2024-08-05-11:02:39; 6=0; 14=0; 37=algo20240805110239; 10=200;
8=FIX4.4; 35=8; 34=98; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:39; 55=AVGO; 11=C_algo20240805110239; 31=0; 150=6; 39=6; 54=1; 44=262.99; 17=exec20240805110239; 32=0; 41=algo20240805110239; 38=28596; 60=2024-08-05-11:02:39; 6=0.0; 14=0; 37=algo20240805110239; 10=252;
8=FIX4.4; 35=8; 34=99; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:39; 151=19064; 55=AVGO; 11=C_algo20240805110239; 31=0; 150=4; 39=4; 54=1; 17=exec20240805110239; 32=0; 41=algo20240805110239; 38=28596; 60=2024-08-05-11:02:39; 6=0.0; 14=0; 37=algo20240805110239; 10=252;
8=FIX4.4; 35=8; 34=101; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:41; 55=GILD; 40=2; 11=algo20240805110241; 31=82.91; 150=0; 39=0; 54=2; 44=82.91; 32=0; 17=exec20240805110241; 38=26922; 60=2024-08-05-11:02:41; 6=0; 14=0; 37=algo20240805110241; 10=200;
8=FIX4.4; 35=8; 34=101; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:41; 55=GILD; 11=C_algo20240805110241; 31=0; 150=6; 39=6; 54=2; 44=82.91; 17=exec20240805110241; 32=0; 41=algo20240805110241; 38=26922; 60=2024-08-05-11:02:41; 6=0.0; 14=0; 37=algo20240805110241; 10=252;
8=FIX4.4; 35=8; 34=102; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:41; 151=21538; 55=GILD; 11=C_algo20240805110241; 31=0; 150=4; 39=4; 54=2; 17=exec20240805110241; 32=0; 41=algo20240805110241; 38=26922; 60=2024-08-05-11:02:41; 6=0.0; 14=0; 37=algo20240805110241; 10=252;
8=FIX4.4; 35=8; 34=104; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:43; 55=SBUX; 40=2; 11=algo20240805110243; 31=75.71; 150=0; 39=0; 54=2; 44=75.71; 32=0; 17=exec20240805110243; 38=16423; 60=2024-08-05-11:02:43; 6=0; 14=0; 37=algo20240805110243; 10=200;
8=FIX4.4; 35=8; 34=104; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:43; 55=SBUX; 11=C_algo20240805110243; 31=0; 150=6; 39=6; 54=2; 44=75.71; 17=exec20240805110243; 32=0; 41=algo20240805110243; 38=16423; 60=2024-08-05-11:02:43; 6=0.0; 14=0; 37=algo20240805110243; 10=252;
8=FIX4.4; 35=8; 34=105; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:43; 151=12318; 55=SBUX; 11=C_algo20240805110243; 31=0; 150=4; 39=4; 54=2; 17=exec20240805110243; 32=0; 41=algo20240805110243; 38=16423; 60=2024-08-05-11:02:43; 6=0.0; 14=0; 37=algo20240805110243; 10=252;
8=FIX4.4; 35=8; 34=107; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:45; 55=QCOM; 40=2; 11=algo20240805110245; 31=75.47; 150=0; 39=0; 54=2; 44=75.47; 32=0; 17=exec20240805110245; 38=27950; 60=2024-08-05-11:02:45; 6=0; 14=0; 37=algo20240805110245; 10=200;
8=FIX4.4; 35=8; 34=108; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:45; 55=QCOM; 40=2; 11=algo20240805110245; 31=75.47; 150=1; 39=1; 54=2; 44=75.47; 32=13975; 17=exec20240805110245; 38=27950; 60=2024-08-05-11:02:45; 6=75.47; 14=13975; 37=algo20240805110245; 10=240;
8=FIX4.4; 35=8; 34=109; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:47; 55=QCOM; 40=2; 11=algo20240805110245; 31=75.47; 150=2; 39=2; 54=2; 44=75.47; 32=13975; 17=exec20240805110247; 38=27950; 60=2024-08-05-11:02:47; 6=75.47; 14=27950; 37=algo20240805110245; 10=246;
8=FIX4.4; 35=8; 34=110; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:47; 55=TMUS; 40=2; 11=algo20240805110247; 31=90.74; 150=0; 39=0; 54=2; 44=90.74; 32=0; 17=exec20240805110247; 38=4864; 60=2024-08-05-11:02:47; 6=0; 14=0; 37=algo20240805110247; 10=200;
8=FIX4.4; 35=8; 34=111; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:47; 55=TMUS; 40=2; 11=algo20240805110247; 31=90.74; 150=1; 39=1; 54=2; 44=90.74; 32=972; 17=exec20240805110247; 38=4864; 60=2024-08-05-11:02:47; 6=90.74; 14=972; 37=algo20240805110247; 10=240;
8=FIX4.4; 35=8; 34=112; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:48; 55=TMUS; 40=2; 11=algo20240805110247; 31=90.74; 150=1; 39=1; 54=2; 44=90.74; 32=972; 17=exec20240805110248; 38=4864; 60=2024-08-05-11:02:48; 6=90.74; 14=1944; 37=algo20240805110247; 10=240;
8=FIX4.4; 35=8; 34=113; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:49; 55=TMUS; 40=2; 11=algo20240805110247; 31=90.74; 150=1; 39=1; 54=2; 44=90.74; 32=972; 17=exec20240805110249; 38=4864; 60=2024-08-05-11:02:49; 6=90.74; 14=2916; 37=algo20240805110247; 10=240;
8=FIX4.4; 35=8; 34=114; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:50; 55=TMUS; 40=2; 11=algo20240805110247; 31=90.74; 150=1; 39=1; 54=2; 44=90.74; 32=972; 17=exec20240805110250; 38=4864; 60=2024-08-05-11:02:50; 6=90.74; 14=3888; 37=algo20240805110247; 10=240;
8=FIX4.4; 35=8; 34=115; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:52; 55=TMUS; 40=2; 11=algo20240805110247; 31=90.74; 150=2; 39=2; 54=2; 44=90.74; 32=976; 17=exec20240805110252; 38=4864; 60=2024-08-05-11:02:52; 6=90.74; 14=4864; 37=algo20240805110247; 10=246;
8=FIX4.4; 35=8; 34=116; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:52; 55=MDLZ; 40=2; 11=algo20240805110252; 31=52.26; 150=0; 39=0; 54=2; 44=52.26; 32=0; 17=exec20240805110252; 38=1893; 60=2024-08-05-11:02:52; 6=0; 14=0; 37=algo20240805110252; 10=200;
8=FIX4.4; 35=8; 34=117; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:52; 55=MDLZ; 40=2; 11=algo20240805110252; 31=52.26; 150=1; 39=1; 54=2; 44=52.26; 32=946; 17=exec20240805110252; 38=1893; 60=2024-08-05-11:02:52; 6=52.26; 14=946; 37=algo20240805110252; 10=240;
8=FIX4.4; 35=8; 34=118; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:54; 55=MDLZ; 40=2; 11=algo20240805110252; 31=52.26; 150=2; 39=2; 54=2; 44=52.26; 32=947; 17=exec20240805110254; 38=1893; 60=2024-08-05-11:02:54; 6=52.26; 14=1893; 37=algo20240805110252; 10=246;
8=FIX4.4; 35=8; 34=119; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:54; 55=BAC; 40=2; 11=algo20240805110254; 31=22.03; 150=0; 39=0; 54=2; 44=22.03; 32=0; 17=exec20240805110254; 38=21841; 60=2024-08-05-11:02:54; 6=0; 14=0; 37=algo20240805110254; 10=200;
8=FIX4.4; 35=8; 34=120; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:54; 55=BAC; 40=2; 11=algo20240805110254; 31=22.03; 150=1; 39=1; 54=2; 44=22.03; 32=7280; 17=exec20240805110254; 38=21841; 60=2024-08-05-11:02:54; 6=22.03; 14=7280; 37=algo20240805110254; 10=240;
8=FIX4.4; 35=8; 34=120; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:55; 55=BAC; 11=C_algo20240805110254; 31=0; 150=6; 39=6; 54=2; 44=22.03; 17=exec20240805110255; 32=0; 41=algo20240805110254; 38=21841; 60=2024-08-05-11:02:55; 6=0.0; 14=7280; 37=algo20240805110254; 10=252;
8=FIX4.4; 35=8; 34=121; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:55; 151=7281; 55=BAC; 11=C_algo20240805110254; 31=0; 150=4; 39=4; 54=2; 17=exec20240805110255; 32=0; 41=algo20240805110254; 38=21841; 60=2024-08-05-11:02:55; 6=0.0; 14=7280; 37=algo20240805110254; 10=252;
8=FIX4.4; 35=8; 34=123; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:57; 55=DDD; 40=2; 11=algo20240805110257; 31=8.01; 150=0; 39=0; 54=1; 44=8.01; 32=0; 17=exec20240805110257; 38=965; 60=2024-08-05-11:02:57; 6=0; 14=0; 37=algo20240805110257; 10=200;
8=FIX4.4; 35=8; 34=124; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:57; 55=DDD; 40=2; 11=algo20240805110257; 31=8.01; 150=1; 39=1; 54=1; 44=8.01; 32=482; 17=exec20240805110257; 38=965; 60=2024-08-05-11:02:57; 6=8.01; 14=482; 37=algo20240805110257; 10=240;
8=FIX4.4; 35=8; 34=125; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:59; 55=DDD; 40=2; 11=algo20240805110257; 31=8.01; 150=2; 39=2; 54=1; 44=8.01; 32=483; 17=exec20240805110259; 38=965; 60=2024-08-05-11:02:59; 6=8.01; 14=965; 37=algo20240805110257; 10=246;
8=FIX4.4; 35=8; 34=126; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:59; 55=MMM; 40=2; 11=algo20240805110259; 31=146.98; 150=0; 39=0; 54=1; 44=146.98; 32=0; 17=exec20240805110259; 38=12881; 60=2024-08-05-11:02:59; 6=0; 14=0; 37=algo20240805110259; 10=200;
8=FIX4.4; 35=8; 34=127; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:00; 55=MMM; 40=2; 11=algo20240805110259; 31=146.98; 150=2; 39=2; 54=1; 44=146.98; 32=12881; 17=exec20240805110300; 38=12881; 60=2024-08-05-11:03:00; 6=146.98; 14=12881; 37=algo20240805110259; 10=246;
8=FIX4.4; 35=8; 34=128; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:00; 55=WBAI; 40=2; 11=algo20240805110300; 31=4.10; 150=0; 39=0; 54=2; 44=4.10; 32=0; 17=exec20240805110300; 38=15991; 60=2024-08-05-11:03:00; 6=0; 14=0; 37=algo20240805110300; 10=200;
8=FIX4.4; 35=8; 34=129; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:00; 55=WBAI; 40=2; 11=algo20240805110300; 31=4.10; 150=1; 39=1; 54=2; 44=4.10; 32=3997; 17=exec20240805110300; 38=15991; 60=2024-08-05-11:03:00; 6=4.10; 14=3997; 37=algo20240805110300; 10=240;
8=FIX4.4; 35=8; 34=129; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:01; 55=WBAI; 11=C_algo20240805110300; 31=0; 150=6; 39=6; 54=2; 44=4.10; 17=exec20240805110301; 32=0; 41=algo20240805110300; 38=15991; 60=2024-08-05-11:03:01; 6=0.0; 14=3997; 37=algo20240805110300; 10=252;
8=FIX4.4; 35=8; 34=130; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:01; 151=7997; 55=WBAI; 11=C_algo20240805110300; 31=0; 150=4; 39=4; 54=2; 17=exec20240805110301; 32=0; 41=algo20240805110300; 38=15991; 60=2024-08-05-11:03:01; 6=0.0; 14=3997; 37=algo20240805110300; 10=252;
