8=FIX4.4; 35=8; 34=60; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:13; 151=2426; 55=AMSFT; 11=C_algo20240805110212; 31=0; 150=4; 39=4; 54=2; 17=exec20240805110213; 32=0; 41=algo20240805110212; 38=7274; 60=2024-08-05-11:02:13; 6=0.0; 14=2424; 37=algo20240805110212; 10=252;
8=FIX4.4; 35=8; 34=105; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:43; 151=12318; 55=SBUX; 11=C_algo20240805110243; 31=0; 150=4; 39=4; 54=2; 17=exec20240805110243; 32=0; 41=algo20240805110243; 38=16423; 60=2024-08-05-11:02:43; 6=0.0; 14=0; 37=algo20240805110243; 10=252;
8=FIX4.4; 35=8; 34=121; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:55; 151=7281; 55=BAC; 11=C_algo20240805110254; 31=0; 150=4; 39=4; 54=2; 17=exec20240805110255; 32=0; 41=algo20240805110254; 38=21841; 60=2024-08-05-11:02:55; 6=0.0; 14=7280; 37=algo20240805110254; 10=252;
8=FIX4.4; 35=8; 34=130; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:01; 151=7997; 55=WBAI; 11=C_algo20240805110300; 31=0; 150=4; 39=4; 54=2; 17=exec20240805110301; 32=0; 41=algo20240805110300; 38=15991; 60=2024-08-05-11:03:01; 6=0.0; 14=3997; 37=algo20240805110300; 10=252;
8=FIX4.4; 35=8; 34=134; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:04; 151=2772; 55=WUBA; 11=C_algo20240805110303; 31=0; 150=4; 39=4; 54=2; 17=exec20240805110304; 32=0; 41=algo20240805110303; 38=5544; 60=2024-08-05-11:03:04; 6=0.0; 14=1386; 37=algo20240805110303; 10=252;
8=FIX4.4; 35=8; 34=137; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:06; 151=444; 55=EGHT; 11=C_algo20240805110306; 31=0; 150=4; 39=4; 54=2; 17=exec20240805110306; 32=0; 41=algo20240805110306; 38=888; 60=2024-08-05-11:03:06; 6=0.0; 14=0; 37=algo20240805110306; 10=252;
8=FIX4.4; 35=8; 34=140; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:08; 151=5716; 55=AHC; 11=C_algo20240805110308; 31=0; 150=4; 39=4; 54=1; 17=exec20240805110308; 32=0; 41=algo20240805110308; 38=8573; 60=2024-08-05-11:03:08; 6=0.0; 14=0; 37=algo20240805110308; 10=252;
8=FIX4.4; 35=8; 34=156; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:18; 151=14301; 55=ABT; 11=C_algo20240805110318; 31=0; 150=4; 39=4; 54=2; 17=exec20240805110318; 32=0; 41=algo20240805110318; 38=19067; 60=2024-08-05-11:03:18; 6=0.0; 14=0; 37=algo20240805110318; 10=252;
8=FIX4.4; 35=8; 34=159; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:20; 151=4000; 55=ABBV; 11=C_algo20240805110320; 31=0; 150=4; 39=4; 54=2; 17=exec20240805110320; 32=0; 41=algo20240805110320; 38=6000; 60=2024-08-05-11:03:20; 6=0.0; 14=0; 37=algo20240805110320; 10=252;
8=FIX4.4; 35=8; 34=162; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:22; 151=7966; 55=ANF; 11=C_algo20240805110322; 31=0; 150=4; 39=4; 54=1; 17=exec20240805110322; 32=0; 41=algo20240805110322; 38=10621; 60=2024-08-05-11:03:22; 6=0.0; 14=0; 37=algo20240805110322; 10=252;
8=FIX4.4; 35=8; 34=166; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:25; 151=9361; 55=ABM; 11=C_algo20240805110324; 31=0; 150=4; 39=4; 54=2; 17=exec20240805110325; 32=0; 41=algo20240805110324; 38=28083; 60=2024-08-05-11:03:25; 6=0.0; 14=9361; 37=algo20240805110324; 10=252;
8=FIX4.4; 35=8; 34=173; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:30; 151=6541; 55=PEP; 11=C_algo20240805110328; 31=0; 150=4; 39=4; 54=1; 17=exec20240805110330; 32=0; 41=algo20240805110328; 38=26155; 60=2024-08-05-11:03:30; 6=0.0; 14=13076; 37=algo20240805110328; 10=252;
8=FIX4.4; 35=8; 34=176; 49=MS; 56=MTHREE; 52=2024-08-05-11:03:32; 151=601; 55=; 11=C_algo20240805110332; 31=0; 150=4; 39=4; 54=1; 17=exec20240805110332; 32=0; 41=algo20240805110332; 38=901; 60=2024-08-05-11:03:32; 6=0.0; 14=0; 37=algo20240805110332; 10=252;
