8=FIX4.4; 35=8; 34=53; 49=MS; 56=M3; 52=2024-08-05-11:02:06; 55=AAPL; 40=2; 11=algo20240805110206; 31=1276.37; 150=1; 39=1; 54=1; 44=1276.37; 32=6195; 17=exec20240805110206; 38=30977; 60=2024-08-05-11:02:06; 6=1276.37; 14=6195; 37=algo20240805110206; 10=240;
8=FIX4.4; 35=8; 34=76; 49=MS; 56=M3; 52=2024-08-05-11:02:25; 55=INTC; 40=2; 11=algo20240805110222; 31=339.13; 150=2; 39=2; 54=2; 44=339.13; 32=7568; 17=exec20240805110225; 38=22702; 60=2024-08-05-11:02:25; 6=339.13; 14=22702; 37=algo20240805110222; 10=246;
8=FIX4.4; 35=8; 34=78; 49=MS; 56=M3; 52=2024-08-05-11:02:26; 55=PEP; 40=2; 11=algo20240805110225; 31=36.21; 150=2; 39=2; 54=2; 44=36.21; 32=2046; 17=exec20240805110226; 38=2046; 60=2024-08-05-11:02:26; 6=36.21; 14=2046; 37=algo20240805110225; 10=246;
8=FIX4.4; 35=8; 34=80; 49=MS; 56=M3; 52=2024-08-05-11:02:26; 55=NFLX; 40=2; 11=algo20240805110226; 31=306.71; 150=1; 39=1; 54=1; 44=306.71; 32=7419; 17=exec20240805110226; 38=29676; 60=2024-08-05-11:02:26; 6=306.71; 14=7419; 37=algo20240805110226; 10=240;
8=FIX4.4; 35=8; 34=108; 49=MS; 56=M3; 52=2024-08-05-11:02:45; 55=QCOM; 40=2; 11=algo20240805110245; 31=75.47; 150=1; 39=1; 54=2; 44=75.47; 32=13975; 17=exec20240805110245; 38=27950; 60=2024-08-05-11:02:45; 6=75.47; 14=13975; 37=algo20240805110245; 10=240;
8=FIX4.4; 35=8; 34=109; 49=MS; 56=M3; 52=2024-08-05-11:02:47; 55=QCOM; 40=2; 11=algo20240805110245; 31=75.47; 150=2; 39=2; 54=2; 44=75.47; 32=13975; 17=exec20240805110247; 38=27950; 60=2024-08-05-11:02:47; 6=75.47; 14=27950; 37=algo20240805110245; 10=246;
8=FIX4.4; 35=8; 34=111; 49=MS; 56=M3; 52=2024-08-05-11:02:47; 55=TMUS; 40=2; 11=algo20240805110247; 31=90.74; 150=1; 39=1; 54=2; 44=90.74; 32=972; 17=exec20240805110247; 38=4864; 60=2024-08-05-11:02:47; 6=90.74; 14=972; 37=algo20240805110247; 10=240;
8=FIX4.4; 35=8; 34=112; 49=MS; 56=M3; 52=2024-08-05-11:02:48; 55=TMUS; 40=2; 11=algo20240805110247; 31=90.74; 150=1; 39=1; 54=2; 44=90.74; 32=972; 17=exec20240805110248; 38=4864; 60=2024-08-05-11:02:48; 6=90.74; 14=1944; 37=algo20240805110247; 10=240;
8=FIX4.4; 35=8; 34=113; 49=MS; 56=M3; 52=2024-08-05-11:02:49; 55=TMUS; 40=2; 11=algo20240805110247; 31=90.74; 150=1; 39=1; 54=2; 44=90.74; 32=972; 17=exec20240805110249; 38=4864; 60=2024-08-05-11:02:49; 6=90.74; 14=2916; 37=algo20240805110247; 10=240;
8=FIX4.4; 35=8; 34=114; 49=MS; 56=M3; 52=2024-08-05-11:02:50; 55=TMUS; 40=2; 11=algo20240805110247; 31=90.74; 150=1; 39=1; 54=2; 44=90.74; 32=972; 17=exec20240805110250; 38=4864; 60=2024-08-05-11:02:50; 6=90.74; 14=3888; 37=algo20240805110247; 10=240;
8=FIX4.4; 35=8; 34=115; 49=MS; 56=M3; 52=2024-08-05-11:02:52; 55=TMUS; 40=2; 11=algo20240805110247; 31=90.74; 150=2; 39=2; 54=2; 44=90.74; 32=976; 17=exec20240805110252; 38=4864; 60=2024-08-05-11:02:52; 6=90.74; 14=4864; 37=algo20240805110247; 10=246;
8=FIX4.4; 35=8; 34=117; 49=MS; 56=M3; 52=2024-08-05-11:02:52; 55=MDLZ; 40=2; 11=algo20240805110252; 31=52.26; 150=1; 39=1; 54=2; 44=52.26; 32=946; 17=exec20240805110252; 38=1893; 60=2024-08-05-11:02:52; 6=52.26; 14=946; 37=algo20240805110252; 10=240;
8=FIX4.4; 35=8; 34=118; 49=MS; 56=M3; 52=2024-08-05-11:02:54; 55=MDLZ; 40=2; 11=algo20240805110252; 31=52.26; 150=2; 39=2; 54=2; 44=52.26; 32=947; 17=exec20240805110254; 38=1893; 60=2024-08-05-11:02:54; 6=52.26; 14=1893; 37=algo20240805110252; 10=246;
8=FIX4.4; 35=8; 34=120; 49=MS; 56=M3; 52=2024-08-05-11:02:54; 55=BAC; 40=2; 11=algo20240805110254; 31=22.03; 150=1; 39=1; 54=2; 44=22.03; 32=7280; 17=exec20240805110254; 38=21841; 60=2024-08-05-11:02:54; 6=22.03; 14=7280; 37=algo20240805110254; 10=240;
8=FIX4.4; 35=8; 34=124; 49=MS; 56=M3; 52=2024-08-05-11:02:57; 55=DDD; 40=2; 11=algo20240805110257; 31=8.01; 150=1; 39=1; 54=1; 44=8.01; 32=482; 17=exec20240805110257; 38=965; 60=2024-08-05-11:02:57; 6=8.01; 14=482; 37=algo20240805110257; 10=240;
8=FIX4.4; 35=8; 34=125; 49=MS; 56=M3; 52=2024-08-05-11:02:59; 55=DDD; 40=2; 11=algo20240805110257; 31=8.01; 150=2; 39=2; 54=1; 44=8.01; 32=483; 17=exec20240805110259; 38=965; 60=2024-08-05-11:02:59; 6=8.01; 14=965; 37=algo20240805110257; 10=246;
8=FIX4.4; 35=8; 34=127; 49=MS; 56=M3; 52=2024-08-05-11:03:00; 55=MMM; 40=2; 11=algo20240805110259; 31=146.98; 150=2; 39=2; 54=1; 44=146.98; 32=12881; 17=exec20240805110300; 38=12881; 60=2024-08-05-11:03:00; 6=146.98; 14=12881; 37=algo20240805110259; 10=246;
8=FIX4.4; 35=8; 34=129; 49=MS; 56=M3; 52=2024-08-05-11:03:00; 55=WBAI; 40=2; 11=algo20240805110300; 31=4.10; 150=1; 39=1; 54=2; 44=4.10; 32=3997; 17=exec20240805110300; 38=15991; 60=2024-08-05-11:03:00; 6=4.10; 14=3997; 37=algo20240805110300; 10=240;
8=FIX4.4; 35=8; 34=133; 49=MS; 56=M3; 52=2024-08-05-11:03:03; 55=WUBA; 40=2; 11=algo20240805110303; 31=51.41; 150=1; 39=1; 54=2; 44=51.41; 32=1386; 17=exec20240805110303; 38=5544; 60=2024-08-05-11:03:03; 6=51.41; 14=1386; 37=algo20240805110303; 10=240;
8=FIX4.4; 35=8; 34=143; 49=MS; 56=M3; 52=2024-08-05-11:03:11; 55=AOS; 40=2; 11=algo20240805110310; 31=40.38; 150=2; 39=2; 54=2; 44=40.38; 32=5474; 17=exec20240805110311; 38=5474; 60=2024-08-05-11:03:11; 6=40.38; 14=5474; 37=algo20240805110310; 10=246;
8=FIX4.4; 35=8; 34=145; 49=MS; 56=M3; 52=2024-08-05-11:03:12; 55=ATEN; 40=2; 11=algo20240805110311; 31=6.45; 150=2; 39=2; 54=1; 44=6.45; 32=25054; 17=exec20240805110312; 38=25054; 60=2024-08-05-11:03:12; 6=6.45; 14=25054; 37=algo20240805110311; 10=246;
8=FIX4.4; 35=8; 34=147; 49=MS; 56=M3; 52=2024-08-05-11:03:13; 55=AIR; 40=2; 11=algo20240805110312; 31=16.31; 150=2; 39=2; 54=1; 44=16.31; 32=20949; 17=exec20240805110313; 38=20949; 60=2024-08-05-11:03:13; 6=16.31; 14=20949; 37=algo20240805110312; 10=246;
8=FIX4.4; 35=8; 34=149; 49=MS; 56=M3; 52=2024-08-05-11:03:13; 55=AAN; 40=2; 11=algo20240805110313; 31=25.68; 150=1; 39=1; 54=2; 44=25.68; 32=879; 17=exec20240805110313; 38=3516; 60=2024-08-05-11:03:13; 6=25.68; 14=879; 37=algo20240805110313; 10=240;
8=FIX4.4; 35=8; 34=150; 49=MS; 56=M3; 52=2024-08-05-11:03:14; 55=AAN; 40=2; 11=algo20240805110313; 31=25.68; 150=1; 39=1; 54=2; 44=25.68; 32=879; 17=exec20240805110314; 38=3516; 60=2024-08-05-11:03:14; 6=25.68; 14=1758; 37=algo20240805110313; 10=240;
8=FIX4.4; 35=8; 34=151; 49=MS; 56=M3; 52=2024-08-05-11:03:15; 55=AAN; 40=2; 11=algo20240805110313; 31=25.68; 150=1; 39=1; 54=2; 44=25.68; 32=879; 17=exec20240805110315; 38=3516; 60=2024-08-05-11:03:15; 6=25.68; 14=2637; 37=algo20240805110313; 10=240;
8=FIX4.4; 35=8; 34=152; 49=MS; 56=M3; 52=2024-08-05-11:03:17; 55=AAN; 40=2; 11=algo20240805110313; 31=25.68; 150=2; 39=2; 54=2; 44=25.68; 32=879; 17=exec20240805110317; 38=3516; 60=2024-08-05-11:03:17; 6=25.68; 14=3516; 37=algo20240805110313; 10=246;
8=FIX4.4; 35=8; 34=154; 49=MS; 56=M3; 52=2024-08-05-11:03:18; 55=ABB; 40=2; 11=algo20240805110317; 31=17.42; 150=2; 39=2; 54=2; 44=17.42; 32=8201; 17=exec20240805110318; 38=8201; 60=2024-08-05-11:03:18; 6=17.42; 14=8201; 37=algo20240805110317; 10=246;
8=FIX4.4; 35=8; 34=165; 49=MS; 56=M3; 52=2024-08-05-11:03:24; 55=ABM; 40=2; 11=algo20240805110324; 31=31.64; 150=1; 39=1; 54=2; 44=31.64; 32=9361; 17=exec20240805110324; 38=28083; 60=2024-08-05-11:03:24; 6=31.64; 14=9361; 37=algo20240805110324; 10=240;
8=FIX4.4; 35=8; 34=169; 49=MS; 56=M3; 52=2024-08-05-11:03:28; 55=AAPL; 40=2; 11=algo20240805110327; 31=284.65; 150=2; 39=2; 54=1; 44=284.65; 32=29522; 17=exec20240805110328; 38=29522; 60=2024-08-05-11:03:28; 6=284.65; 14=29522; 37=algo20240805110327; 10=246;
8=FIX4.4; 35=8; 34=171; 49=MS; 56=M3; 52=2024-08-05-11:03:28; 55=PEP; 40=2; 11=algo20240805110328; 31=45.43; 150=1; 39=1; 54=1; 44=45.43; 32=6538; 17=exec20240805110328; 38=26155; 60=2024-08-05-11:03:28; 6=45.43; 14=6538; 37=algo20240805110328; 10=240;
8=FIX4.4; 35=8; 34=172; 49=MS; 56=M3; 52=2024-08-05-11:03:29; 55=PEP; 40=2; 11=algo20240805110328; 31=45.43; 150=1; 39=1; 54=1; 44=45.43; 32=6538; 17=exec20240805110329; 38=26155; 60=2024-08-05-11:03:29; 6=45.43; 14=13076; 37=algo20240805110328; 10=240;
